Borough,Development Name,Consumption (KWH),Borough_avg_KWH_per_capita,Exceeds_Avg
BROOKLYN,HIGHBRIDGE REHABS (NELSON AVENUE),114902.0,178.9351063341072,True
BROOKLYN,HOE AVENUE-EAST 173RD STREET,414566.0,178.9351063341072,True
BROOKLYN,HOLMES TOWERS,2986776.0,178.9351063341072,True
BROOKLYN,HOPE GARDENS,776391.0,178.9351063341072,True
BROOKLYN,HOWARD,1597809.0,178.9351063341072,True
BROOKLYN,INTERNATIONAL TOWER,341978.0,178.9351063341072,True
BROOKLYN,ISAACS,4207089.0,178.9351063341072,True
BROOKLYN,JACKSON,2495142.0,178.9351063341072,True
BROOKLYN,JEFFERSON,8646880.0,178.9351063341072,True
BROOKLYN,JOHNSON,9481651.0,178.9351063341072,True
BROOKLYN,KING TOWERS,8115017.0,178.9351063341072,True
BROOKLYN,KINGSBOROUGH,436542.0,178.9351063341072,True
BROOKLYN,LINDEN,8011552.0,178.9351063341072,True
BROOKLYN,LONG ISLAND BAPTIST HOUSES,310263.0,178.9351063341072,True
BROOKLYN,LOWER EAST SIDE REHAB (GROUP 5),105901.0,178.9351063341072,True
BROOKLYN,MANHATTANVILLE,3375996.0,178.9351063341072,True
BROOKLYN,MARBLE HILL,1437199.0,178.9351063341072,True
BROOKLYN,MARCY,7056823.0,178.9351063341072,True
BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE A,99424.0,178.9351063341072,True
BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE B,169048.0,178.9351063341072,True
BROOKLYN,MARINER'S HARBOR,4770730.0,178.9351063341072,True
BROOKLYN,MARLBORO,1705120.0,178.9351063341072,True
BROOKLYN,MELROSE,3893693.0,178.9351063341072,True
BROOKLYN,MELTZER TOWER,801636.0,178.9351063341072,True
BROOKLYN,METRO NORTH PLAZA,1973956.0,178.9351063341072,True
BROOKLYN,MIDDLETOWN PLAZA,714923.0,178.9351063341072,True
BROOKLYN,MILBANK-FRAWLEY,182947.0,178.9351063341072,True
BROOKLYN,MILL BROOK,8166824.0,178.9351063341072,True
BROOKLYN,MILL BROOK EXTENSION,844007.0,178.9351063341072,True
BROOKLYN,MITCHEL,11892748.0,178.9351063341072,True
BROOKLYN,MONROE,8712142.0,178.9351063341072,True
BROOKLYN,MOORE,3516405.0,178.9351063341072,True
BROOKLYN,MORRIS I,9699981.0,178.9351063341072,True
BROOKLYN,MORRIS II,954012.0,178.9351063341072,True
